,name,href,Total Fat,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Saturated Fat,Cholesterol,query
2,Refrigerator Dill Pickles,https://www.allrecipes.com/recipe/233542/refrigerator-dill-pickles/,0g,444mg,3g,0g,2g,0g,2mg,13mg,5mg,86mg,,,pickles
5,Bread and Butter Pickles,https://www.allrecipes.com/recipe/21166/bread-and-butter-pickles-ii/,0g,938mg,26g,1g,22g,1g,8mg,26mg,1mg,194mg,0g,,pickles
6,Chef John's Bread and Butter Pickles,https://www.allrecipes.com/recipe/239231/chef-johns-bread-and-butter-pickles/,0g,361mg,10g,0g,9g,0g,3mg,6mg,0mg,40mg,,,pickles
7,Microwave Bread and Butter Pickles,https://www.allrecipes.com/recipe/26857/microwave-bread-and-butter-pickles/,,97mg,9g,0g,9g,0g,1mg,4mg,0mg,26mg,,,pickles
8,Spicy Refrigerator Dill Pickles,https://www.allrecipes.com/recipe/75145/spicy-refrigerator-dill-pickles/,0g,728mg,17g,1g,12g,2g,10mg,50mg,1mg,338mg,0g,,pickles
9,Zucchini Pickles,https://www.allrecipes.com/recipe/228678/zucchini-pickles/,0g,2mg,5g,0g,5g,0g,2mg,3mg,0mg,34mg,,,pickles
10,Deep Fried Dill Pickles,https://www.allrecipes.com/recipe/17192/deep-fried-dill-pickles/,4g,1223mg,30g,2g,2g,6g,2mg,42mg,2mg,200mg,1g,32mg,pickles
11,Refrigerator Pickles,https://www.allrecipes.com/recipe/14275/refrigerator-pickles/,0g,59mg,11g,0g,10g,0g,4mg,6mg,0mg,52mg,,,pickles
12,Homemade Refrigerator Pickles,https://www.allrecipes.com/recipe/22653/homemade-refrigerator-pickles/,,92mg,7g,0g,,0g,2mg,2mg,,22mg,,,pickles
13,Tuna Salad with Eggs and Pickles,https://www.allrecipes.com/recipe/73223/new-wife-tuna-salad/,14g,190mg,2g,0g,1g,14g,1mg,23mg,1mg,152mg,2g,106mg,pickles
19,Cream Cheese Pickles,https://www.allrecipes.com/recipe/14906/cream-cheese-pickles/,20g,1995mg,7g,2g,2g,7g,3mg,58mg,2mg,251mg,13g,66mg,pickles
20,Fried Dill Pickles,https://www.allrecipes.com/recipe/73458/fried-dill-pickles/,7g,849mg,25g,1g,2g,4g,1mg,30mg,2mg,132mg,1g,13mg,pickles
22,Macaroni Salad with Pickles,https://www.allrecipes.com/recipe/14211/macaroni-salad-with-pickles/,40g,1120mg,67g,4g,8g,16g,22mg,128mg,5mg,472mg,9g,146mg,pickles
23,Pop's Dill Pickles,https://www.allrecipes.com/recipe/218121/pops-dill-pickles/,0g,1585mg,9g,1g,6g,1g,4mg,22mg,0mg,163mg,,,pickles
0,Easy Oreo Truffles,https://www.allrecipes.com/recipe/127491/easy-oreo-truffles/,7g,68mg,14g,1g,,2g,,,,27mg,4g,6mg,truffles
1,Easy Decadent Truffles,https://www.allrecipes.com/recipe/41236/easy-decadent-truffles/,4g,13mg,11g,1g,10g,1g,0mg,7mg,0mg,37mg,2g,4mg,truffles
4,Basic Truffles,https://www.allrecipes.com/recipe/24691/basic-truffles/,4g,1mg,6g,1g,4g,1g,,2mg,,39mg,3g,4mg,truffles
6,Easy Chocolate Chip Cookie Dough Truffles,https://www.allrecipes.com/recipe/217268/easy-chocolate-chip-cookie-dough-truffles/,8g,38mg,19g,1g,9g,2g,0mg,34mg,1mg,107mg,5g,10mg,truffles
7,Twilight Dark Chocolate Truffles,https://www.allrecipes.com/recipe/214471/twilight-dark-chocolate-truffles/,7g,6mg,7g,1g,5g,1g,,6mg,1mg,29mg,4g,9mg,truffles
8,Rum Truffles,https://www.allrecipes.com/recipe/37643/rum-truffles/,6g,9mg,10g,1g,4g,1g,,4mg,0mg,54mg,3g,8mg,truffles
9,Eagle Brand Chocolate Truffles,https://www.allrecipes.com/recipe/219716/eagle-brand-chocolate-truffles/,3g,9mg,6g,1g,6g,1g,,3mg,0mg,29mg,2g,2mg,truffles
12,Mocha Truffles,https://www.allrecipes.com/recipe/241291/mocha-truffles/,5g,11mg,8g,1g,7g,1g,,6mg,1mg,45mg,3g,4mg,truffles
13,Easy White Chocolate Oreo Truffles,https://www.allrecipes.com/recipe/256078/easy-white-chocolate-oreo-truffles/,11g,129mg,22g,1g,16g,3g,0mg,40mg,1mg,86mg,6g,13mg,truffles
14,Carnation Breakfast Truffles,https://www.allrecipes.com/recipe/267370/carnation-breakfast-truffles/,6g,56mg,7g,1g,2g,3g,,6mg,0mg,61mg,1g,2mg,truffles
15,Chocolate Chip Cookie Dough Truffles,https://www.allrecipes.com/recipe/235916/chocolate-chip-cookie-dough-truffles/,13g,56mg,33g,3g,21g,4g,,19mg,1mg,147mg,8g,11mg,truffles
16,Hot Chocolate Truffles,https://www.allrecipes.com/recipe/254291/hot-chocolate-truffles/,6g,74mg,18g,0g,10g,1g,,25mg,,,3g,5mg,truffles
17,Sweet Sierra Truffles,https://www.allrecipes.com/recipe/112652/sweet-sierra-truffles/,2g,7mg,7g,0g,6g,0g,,3mg,0mg,21mg,1g,3mg,truffles
18,Italian Capezzoli di Venere (Chocolate Truffles of Venus),https://www.allrecipes.com/recipe/213186/italian-capezzoli-di-venere-chocolate-truffles-of-venus/,5g,14mg,12g,1g,8g,1g,2mg,14mg,0mg,61mg,2g,5mg,truffles
19,How to Make Chocolate Truffles,https://www.allrecipes.com/recipe/277647/how-to-make-chocolate-truffles/,14g,27mg,26g,0g,0g,2g,0mg,18mg,1mg,120mg,8g,15mg,truffles
20,Vegan Chocolate Truffles,https://www.allrecipes.com/recipe/263649/vegan-chocolate-truffles/,4g,15mg,10g,1g,6g,1g,,2mg,0mg,12mg,2g,,truffles
21,Pumpkin Chocolate Truffles,https://www.allrecipes.com/recipe/276214/pumpkin-chocolate-truffles/,3g,22mg,8g,1g,5g,1g,0mg,8mg,0mg,39mg,1g,5mg,truffles
22,Salted Dark Chocolate Hazelnut Caramel Truffles,https://www.allrecipes.com/recipe/239746/salted-dark-chocolate-hazelnut-caramel-truffles/,8g,219mg,17g,1g,7g,2g,,9mg,3mg,65mg,4g,8mg,truffles
23,Easy Pumpkin Spice Truffles,https://www.allrecipes.com/recipe/8493639/easy-pumpkin-spice-truffles/,15g,130mg,20g,0g,,3g,,,,36mg,8g,22mg,truffles
2,Peanut Butter Pie,https://www.allrecipes.com/recipe/9174/peanut-butter-pie/,43g,367mg,50g,2g,39g,10g,,50mg,2mg,222mg,23g,32mg,peanut butter
3,Peanut Butter Balls,https://www.allrecipes.com/recipe/10670/peanut-butter-balls-iii/,10g,83mg,18g,1g,,4g,1mg,8mg,1mg,107mg,4g,5mg,peanut butter
4,Peanut Butter Cup Cookies,https://www.allrecipes.com/recipe/9471/peanut-butter-cup-cookies/,7g,119mg,14g,1g,9g,2g,,13mg,1mg,61mg,3g,11mg,peanut butter
6,Classic Peanut Butter Cookies,https://www.allrecipes.com/recipe/10275/classic-peanut-butter-cookies/,7g,101mg,15g,1g,,2g,,15mg,1mg,57mg,3g,18mg,peanut butter
8,Easiest Peanut Butter Fudge,https://www.allrecipes.com/recipe/22724/easiest-peanut-butter-fudge/,6g,54mg,28g,0g,,2g,,20mg,0mg,65mg,3g,8mg,peanut butter
10,Fluffy Peanut Butter Frosting,https://www.allrecipes.com/recipe/84429/fluffy-peanut-butter-frosting/,14g,116mg,19g,1g,17g,4g,,12mg,0mg,111mg,5g,16mg,peanut butter
13,Three Ingredient Peanut Butter Cookies,https://www.allrecipes.com/recipe/11352/three-ingredient-peanut-butter-cookies/,23g,209mg,42g,3g,37g,12g,,23mg,1mg,291mg,5g,31mg,peanut butter
14,Peanut Butter Kiss Cookies,https://www.allrecipes.com/recipe/9806/peanut-butter-kiss-cookies/,7g,66mg,14g,1g,,4g,,6mg,0mg,93mg,2g,,peanut butter
15,Peanut Butter Haystacks,https://www.allrecipes.com/recipe/10985/peanut-butter-haystacks/,15g,147mg,17g,1g,,5g,,9mg,1mg,145mg,5g,,peanut butter
16,3-Ingredient Peanut Butter Cookies,https://www.allrecipes.com/recipe/244614/3-ingredient-peanut-butter-cookies/,6g,52mg,11g,1g,9g,3g,,6mg,0mg,73mg,1g,8mg,peanut butter
21,Chocolate Peanut Butter Cup Cookies,https://www.allrecipes.com/recipe/9986/chocolate-peanut-butter-cup-cookies/,13g,133mg,25g,1g,17g,5g,,16mg,1mg,108mg,7g,24mg,peanut butter
